Beds,Provider,"Federal Number"
120,"BALDOMERO LOPEZ MEMORIAL VETERANS NURSING HOME",106006
120,"BETHANY AT SILVER LAKE",505403
120,"REGENCY AT NORTHPOINTE",505369
120,"ASSUMPTION HEALTHCARE AND REHABILITATION",195498
120,"WINDSOR HAMPTON CARE CENTER",056324
120,"CARROLL HEALTH AND REHAB LLC",195423
120,"LIFE CARE CENTER OF OOLTEWAH",445511
120,"LAURELS OF MASSILLON, THE",366078
120,"VERMILION HEALTH CARE CENTER",195442
120,"SPRINGTOWN PARK REHABILITATION AND CARE CENTER",676499
120,"GLADES WEST REHABILITATION AND NURSING C",106106
120,"BRIDGEWATER PARK HEALTH & REHABILITATION CENTER",106115
120,"LIFE CARE CENTER OF BLOUNT COUNTY",445520
120,"BUFFALO CROSSING HEALTHCARE AND REHABILITATION CEN",106114
120,"ARCADIA HEALTHCARE - UNIVERSITY PLACE",505473
120,"ELLINGTON ( THE )",195464
120,"HY-LOND HEALTH CARE CENTER - MODESTO",056301
120,"MAJESTIC CARE OF NEW HAVEN",155207
120,"BADGER PRAIRIE HCC",525516
120,"BIG SPRING CENTER FOR SKILLED CARE",676380
120,"QUALITY LIVING, INC",28A060
120,"MAIN STREET CARE CENTER",365865
120,"CEDAR HILL HEALTHCARE CENTER",675032
120,"BAYOU PINES CARE CENTER",676223
120,"NEW LEBANON REHABILITATION AND HEALTHCARE CENTER",365897
120,"FOX RUN MANOR",365896
120,"ROCKY MOUNTAIN CARE - LOGAN",465116
120,"LODGE CARE CENTER INC THE",365889
120,"AVALON CARE CENTER -  FEDERAL WAY",505510
120,"CHRISTIAN CARE CENTER OF BRISTOL",445530
120,"MAJESTIC CARE OF COLUMBUS LLC",365754
120,"GREENBRIAR CENTER",365853
120,"THE TERRACE AT MT OGDEN",465115
120,"PROMEDICA SKILLED NURSING AND REHAB (SALMON CREEK)",505522
120,"THE HEIGHTS ON HUEBNER",676224
120,"PROMEDICA SKILLED NURSING AND REHAB (LACEY)",505525
120,"CAMELOT BROOKSIDE",195550
120,"HOLLADAY HEALTHCARE CENTER",465109
120,"PROMEDICA SKILLED NURSING & REHAB (GIG HARBOR)",505436
120,"LASATA CARE CENTER",525537
120,"HIGHLAND MEADOWS HEALTH & REHAB",676387
