Beds,Provider,"Federal Number"
80,"TOWN AND COUNTRY HEALTH CARE CENTER",225537
80,"GATEWAY VISTA",285266
80,"SALEM TRANSITIONAL CARE",385234
80,"EASTWOOD MANOR",375529
80,"AVENUE AT LYNDHURST",366488
80,"GARDENS AT YORK TERRACE, THE",395252
80,"MORROW MEMORIAL HOME",525662
80,"BROOKESTONE ACRES",285291
80,"SEQUOYAH EAST NURSING CENTER,  LLC",375394
80,"LAFAYETTE POINTE NURSING & REHAB CTR",365891
80,"GOLDEN OAKS VILLAGE",375406
80,"GRACELEN TERRACE NF",38E188
80,"SHADY OAKS",165082
80,"VIA CHRISTI VILLAGE RIDGE",175539
80,"WOODLAND MANOR",155086
80,"SENECA HOUSE",265491
80,"THE PINES HEALTHCARE CENTER",365862
80,"RIVERVIEW NURSING & REHABILITATION CENTER",255216
80,"THE WATERS OF CHEATHAM, LLC",445318
80,"VERNON MANOR",525562
80,"MAJESTIC CARE OF SHERIDAN",155376
80,"ELK RIVER HEALTH AND REHABILITATION OF WINCHESTER",445319
80,"SURREY PLACE ST LUKES HOSP SKILLED NURSING",265414
80,"MCLOUD NURSING CENTER",375347
80,"CROSSROADS CARE CENTER OF MAYVILLE",525616
80,"FLORENTINE GARDENS",366421
80,"ALTERCARE TRANSITIONAL CARE OF THE WESTERN RESERVE",366434
80,"NORTHERN NECK SENIOR CARE COMMUNITY",495364
80,"KOKOMO HEALTHCARE CENTER",155222
80,"LIFE CARE CENTER OF HENDERSONVILLE",345463
80,"MAPLE RIDGE HEALTH SERVICES",525359
80,"SHEPHERD OF THE VALLEY HOWLAND",366258
80,"VALLE VERDE HEALTH FACILITY",055733
80,"WOODWARD SKILLED NURSING AND THERAPY",375195
80,"GENESIS SENIOR LIVING",165175
80,"LIBERTY COMMUNITY LIVING CTR",255271
80,"HERITAGE HILLS REHABILITATION AND CARE CENTER",465107
80,"MADISON MANOR NURSING HOME",015214
80,"CROWNE HEALTH CARE OF THOMASVILLE",015220
80,"CISCO NURSING & REHABILITATION",675259
80,"CARE CENTER OF DEQUINCY (THE)",195527
80,"HASKELL COUNTY NURSING CENTER, INC",375497
80,"ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER",395174
80,"WILLOW CROSSING HEALTH & REHABILITATION CENTER",155535
80,"LAKES OF CLERMONT HEALTH AND REHABILITATION CENTER",106134
80,"SKILLED CARE OF MEXIA",676427
80,"JOHNSTOWN POINTE NURSING & REHABILITATION CENTER",366484
80,"WATERVIEW POINTE NURSING & REHABILITATION",366478
80,"THE WATERS OF ROAN HIGHLANDS,LLC",445396
80,"BEDFORD CARE CTR-MONROE HALL",255297
80,"SHAKOPEE FRIENDSHIP MANOR",245445
80,"SEVEN HILLS HEALTH & REHAB CENTER",366441
80,"WALNUT GROVE LIVING CENTER",375340
80,"MESA VERDE POST ACUTE CARE CENTER",056362
80,"BOOKER T.WASHINGTON SKILLED NURSING AND REHABILITA",195615
80,"OAKS OF BRECKSVILLE",366395
80,"HAMMOND-WHITING CARE CENTER",155423
80,"MARQUIS CENTENNIAL POST ACUTE REHAB",385183
80,"CARLISLE CENTER FOR WELLNESS AND REHAB",165255
80,"WASHINGTON STATE WALLA WALLA VETERANS HOME",505530
80,"ARROWHEAD SENIOR LIVING COMMUNITY",265876
80,"TEXAN NURSING & REHAB OF GONZALES",675124
80,"GENEVA CENTER FOR REHABILITATION AND NURSING",366326
80,"CENTER AT ZARAGOZA",745005
80,"MID-WILSHIRE HEALTH CARE CNTR",056174
80,"CROSSROADS NURSING & REHABILITATION",676385
80,"PRESTIGE POST-ACUTE AND REHAB CENTER - EDMONDS",505527
80,"FOREST GLEN HEALTH CAMPUS",366245
80,"CENTER AT WATERFRONT LLC",175564
80,"HERITAGE OF HUDSON",366404
80,"SHARE MEDICAL CENTER",375550
80,"CARSON TAHOE TRANSITIONAL REHABILITATION CENTER",295104
80,"LUTHERAN HOME",366162
80,"EASTERN MONTANA VETERANS HOME",275144
80,"PRESTIGE CARE & REHABILITATION - SUNNYSIDE",505226
80,"LINDALE HEALTHCARE CENTER",455972
80,"ALTERCARE SOMERSET INC.",365750
80,"LANDMARK NURSING AND REHAB CENTER",255320
80,"JOE-ANNE BURGIN HEALTH AND REHABILITATION",115272
80,"BAY CREST CARE CENTER",055559
80,"COAST FORK NURSING CENTER",385152
80,"COLONIAL PARK MANOR",375327
80,"WEST CARROLL CARE CENTER, INC",195398
80,"GOOD SAMARITAN SOCIETY - BEATRICE",285203
80,"EVERGREEN HEALTH CENTER",525647
80,"MABRY HEALTH CARE",445272
80,"CAMELLIA GARDENS CARE CENTER",056316
80,"SUNRISE COUNTRY MANOR",285232
80,"HIGHLAND CARE CENTER OF REDLANDS",055650
80,"FOCUSED CARE AT LAMESA",455936
80,"UNIVERSITY VILLAGE RETIREMENT COMMUNITY",375531
