Beds,Provider,"Federal Number"
1,"EDENBROOK LAKESIDE",525319
4,"THE FOREST AT DUKE INC",345542
6,"TERREBONNE GENERAL MED CTR SNF",195185
6,"CYPRESS GLEN RETIREMENT COMMUNITY",345512
6,"FLUSHING HOSPITAL MEDICAL CENTER T C U",335864
6,"WILLAMETTE VIEW HEALTH CENTER",385200
6,"OAK CREST",146105
6,"COLUSA MEDICAL CENTER - SNF",555909
6,"ARBOR ACRES UNITED METHODIST RETIREMENT COMMUNITY",345573
7,"JAMAICA HOSPITAL MEDICAL CENTER T C U",335856
8,"MUSCOGEE (CREEK) NATION SKILLED NURSING FACILITY",375314
8,"CATALINA ISLAND MEDICAL CENTER D/P SNF",555187
8,"WYTHE CNTY COMMUNITY HOSP ECU",495167
8,"MARYLAND GARDENS CARE CENTER",035247
8,"THE GARDENS OF TAYLOR GLEN RET COM",345525
10,"CORDOVA COMMUNITY MED LTC",025028
10,"UNION COUNTY HOSPITAL L T C",14A453
10,"WILKES REGIONAL MEDICAL CTR SN",345386
10,"HARMON HOSPITAL - SNF",295048
10,"TRANSYLVANIA REGIONAL HOSPITAL",345484
10,"NORTHEAST LA WAR VETERANS HOME",195628
10,"WICHITA COUNTY HEALTH CENTER LTCU",17E011
10,"SAGE SPECIALTY HOSPITAL",195640
10,"PROVIDENCE VALDEZ MEDICAL CENTER",025034
10,"GARRETT COUNTY SUBACUTE UNIT",215310
10,"LANAI COMMUNITY HOSPITAL",125023
10,"ST CLAIRE MEDICAL CENTER",185430
11,"LOGAN REGIONAL HOSPITAL TRANSITIONAL CARE UNIT",465123
12,"COLUMBIA BASIN HOSPITAL",50A181
12,"THE VILLAGE AT NORTHRISE - DESERT WILLOW I",325111
12,"RECOVERY INN, AN EDURO HEALTHCARE COMMUNITY (THE)",525720
12,"LAKE CUMBERLAND REGIONAL HOSPITAL SCU",185407
12,"THE LUTHERAN VILLAGE AT MILLER'S GRANT",215363
12,"OSF SAINT JOSEPH MEDICAL CENTER",145590
12,"NEURORESTORATIVE TEXAS",745003
12,"SKILLED CARING CENTER OF MEMORIAL HOSPITAL",155305
12,"FLAGET MEMORIAL HOSPITAL NF",185422
12,"NORTHERN WESTCHESTER HOSPITAL T C U",335869
12,"NEWPORT SUBACUTE HEALTHCARE CENTER",555751
12,"GENESYS SHORT-TERM REHABILITATION CENTER",235713
12,"KENDAL AT OBERLIN",365956
12,"THE CEDARS OF CHAPEL HILL",345533
12,"NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER-SNU",345467
12,"GREENWOOD TRANSITIONAL REHABILITATION UNIT",425388
13,"TRINITY HOSPITAL SKILLED NURSING FACILITY",555907
13,"GREATER EL MONTE COMMUNITY HOS",555634
14,"MEADOWS ON FAIRVIEW",245622
14,"ALL SAINT'S MAUBERT",555879
14,"BROOKDALE CARRIAGE CLUB PROVIDENCE",345482
14,"ST LOUIS ALTENHEIM",26A484
14,"THE MEDICAL RESORT AT PEARLAND",676436
14,"WRANGELL MEDICAL CENTER LTC",025015
15,"WILLOWBROOKE COURT SC CTR AT MATTHEWS GLEN",345326
15,"BAPTIST HEALTH HARDIN",185427
15,"HOBOKEN UNIVERSITY MEDICAL CENTER TCU",315512
15,"SEARHC SITKA LONG TERM CARE",025032
